Date           ,Price          ,SuperTrend     ,LowerBand      ,UpperBand      
2023-03-14 20:00:00 -0400 EDT,24693.62       ,true           ,21601.12       ,NaN            
2023-03-15 20:00:00 -0400 EDT,24277.90       ,true           ,21601.12       ,NaN            
2023-03-16 20:00:00 -0400 EDT,25001.50       ,true           ,21601.12       ,NaN            
2023-03-17 20:00:00 -0400 EDT,27388.76       ,true           ,21624.34       ,NaN            
2023-03-18 20:00:00 -0400 EDT,26911.06       ,true           ,22371.07       ,NaN            
2023-03-19 20:00:00 -0400 EDT,27955.47       ,true           ,22866.18       ,NaN            
2023-03-20 20:00:00 -0400 EDT,27714.93       ,true           ,22916.90       ,NaN            
2023-03-21 20:00:00 -0400 EDT,28110.21       ,true           ,22938.34       ,NaN            
2023-03-22 20:00:00 -0400 EDT,27251.66       ,true           ,22938.34       ,NaN            
2023-03-23 20:00:00 -0400 EDT,28295.42       ,true           ,23156.89       ,NaN            
2023-03-24 20:00:00 -0400 EDT,27454.21       ,true           ,23222.86       ,NaN            
2023-03-25 20:00:00 -0400 EDT,27470.99       ,true           ,23222.86       ,NaN            
2023-03-26 20:00:00 -0400 EDT,27970.19       ,true           ,23574.80       ,NaN            
2023-03-27 20:00:00 -0400 EDT,27126.91       ,true           ,23574.80       ,NaN            
2023-03-28 20:00:00 -0400 EDT,27261.07       ,true           ,23574.80       ,NaN            
2023-03-29 20:00:00 -0400 EDT,28348.60       ,true           ,24240.47       ,NaN            
2023-03-30 20:00:00 -0400 EDT,28028.53       ,true           ,24694.81       ,NaN            
2023-03-31 20:00:00 -0400 EDT,28465.36       ,true           ,24694.81       ,NaN            
2023-04-01 20:00:00 -0400 EDT,28452.73       ,true           ,24694.81       ,NaN            
2023-04-02 20:00:00 -0400 EDT,28171.87       ,true           ,24694.81       ,NaN            
2023-04-03 20:00:00 -0400 EDT,27800.00       ,true           ,24694.81       ,NaN            
